R: [82, 28, 11] L: [79, 23, 11]
R: [82, 28, 10] L: [81, 23, 11]
R: [79, 27, 8] L: [80, 23, 10]
R: [80, 27, 9] L: [79, 24, 11]
R: [79, 31, 9] L: [79, 20, 10]
R: [80, 29, 10] L: [78, 22, 10]
R: [79, 27, 10] L: [78, 23, 10]
R: [78, 28, 9] L: [80, 23, 9]
R: [79, 28, 10] L: [79, 23, 11]
R: [80, 29, 9] L: [79, 23, 11]
R: [80, 30, 11] L: [80, 23, 10]
R: [79, 27, 9] L: [79, 23, 11]
R: [80, 29, 9] L: [80, 24, 13]
R: [79, 28, 9] L: [79, 23, 12]
R: [79, 30, 10] L: [77, 22, 9]
R: [79, 28, 10] L: [79, 20, 9]
R: [79, 28, 10] L: [79, 23, 11]
R: [79, 30, 9] L: [79, 22, 9]
R: [82, 31, 12] L: [79, 23, 10]
R: [78, 27, 8] L: [80, 25, 11]
R: [80, 29, 10] L: [76, 22, 10]
R: [79, 28, 6] L: [78, 22, 10]
R: [78, 28, 7] L: [75, 23, 8]
R: [77, 26, 6] L: [80, 23, 10]
R: [80, 29, 10] L: [79, 24, 11]
R: [79, 28, 10] L: [79, 22, 10]
R: [81, 31, 11] L: [78, 24, 10]
R: [75, 27, 7] L: [76, 24, 8]
R: [78, 27, 8] L: [80, 24, 12]
R: [79, 29, 10] L: [78, 23, 10]
R: [78, 29, 8] L: [80, 23, 11]
R: [80, 30, 9] L: [79, 23, 11]
R: [79, 28, 10] L: [81, 23, 10]
R: [79, 27, 10] L: [80, 24, 10]
R: [82, 30, 12] L: [78, 22, 7]
R: [79, 29, 8] L: [79, 23, 10]
R: [80, 29, 9] L: [75, 21, 9]
R: [79, 28, 9] L: [80, 24, 11]
R: [78, 27, 8] L: [78, 22, 10]
R: [76, 28, 8] L: [78, 23, 9]
R: [79, 28, 8] L: [82, 24, 12]
R: [80, 26, 9] L: [80, 25, 14]
R: [80, 29, 9] L: [79, 23, 10]
R: [79, 28, 7] L: [77, 22, 12]
R: [79, 29, 11] L: [79, 23, 11]
R: [80, 29, 9] L: [80, 24, 11]
R: [82, 30, 10] L: [80, 22, 10]
R: [80, 28, 9] L: [78, 23, 10]
R: [81, 29, 12] L: [77, 22, 9]
R: [80, 30, 10] L: [79, 24, 13]
R: [80, 28, 9] L: [80, 24, 11]
R: [79, 28, 9] L: [79, 24, 11]
R: [79, 27, 11] L: [78, 22, 8]
R: [79, 27, 9] L: [79, 23, 12]
R: [78, 26, 8] L: [78, 22, 9]
R: [78, 25, 6] L: [80, 24, 10]
R: [79, 30, 11] L: [79, 22, 10]
R: [80, 30, 10] L: [78, 21, 9]
R: [81, 28, 11] L: [81, 23, 12]
R: [78, 30, 9] L: [77, 21, 8]
R: [80, 28, 9] L: [78, 24, 13]
R: [80, 29, 9] L: [79, 24, 12]
R: [78, 29, 11] L: [79, 23, 10]
R: [80, 33, 8] L: [75, 24, 10]
R: [80, 29, 13] L: [79, 24, 11]
R: [80, 29, 10] L: [79, 23, 10]
R: [81, 28, 11] L: [80, 23, 10]
R: [80, 28, 10] L: [80, 24, 11]
R: [79, 30, 11] L: [78, 23, 11]
R: [78, 28, 9] L: [81, 26, 11]
R: [81, 31, 11] L: [78, 24, 10]
R: [79, 28, 10] L: [77, 22, 10]
R: [76, 28, 8] L: [79, 25, 10]
R: [79, 26, 6] L: [79, 23, 10]
R: [78, 27, 9] L: [79, 23, 11]
R: [80, 29, 9] L: [78, 23, 10]
R: [79, 29, 11] L: [78, 22, 10]
R: [80, 30, 9] L: [78, 24, 11]
R: [78, 27, 8] L: [79, 22, 10]
R: [79, 28, 10] L: [79, 24, 13]
R: [81, 29, 11] L: [79, 24, 11]
R: [81, 29, 10] L: [80, 24, 11]
R: [81, 30, 10] L: [78, 24, 9]
R: [79, 27, 8] L: [78, 22, 10]
R: [78, 28, 8] L: [79, 23, 13]
R: [82, 29, 8] L: [78, 24, 10]
R: [82, 29, 10] L: [78, 21, 11]
R: [77, 27, 9] L: [76, 23, 9]
R: [79, 28, 10] L: [78, 22, 9]
R: [80, 28, 9] L: [78, 23, 10]
R: [79, 29, 9] L: [78, 22, 9]
R: [79, 29, 10] L: [78, 23, 10]
R: [80, 32, 6] L: [79, 23, 12]
R: [78, 28, 11] L: [81, 24, 11]
R: [80, 29, 8] L: [80, 24, 10]
R: [79, 27, 10] L: [79, 23, 10]
R: [80, 28, 10] L: [80, 24, 11]
R: [80, 29, 9] L: [80, 24, 11]
R: [83, 28, 11] L: [80, 23, 12]
R: [79, 28, 10] L: [75, 23, 9]
R: [76, 28, 9] L: [79, 24, 10]
R: [79, 28, 10] L: [79, 23, 10]
R: [74, 28, 8] L: [81, 24, 10]
R: [81, 29, 10] L: [78, 24, 10]
R: [79, 28, 11] L: [80, 23, 10]
R: [78, 28, 9] L: [80, 23, 10]
R: [78, 27, 9] L: [80, 24, 9]
R: [81, 28, 10] L: [78, 23, 11]
R: [78, 27, 9] L: [80, 24, 10]
R: [80, 29, 9] L: [77, 22, 10]
R: [80, 29, 10] L: [78, 23, 10]
R: [80, 29, 9] L: [78, 22, 10]
R: [78, 28, 9] L: [78, 22, 10]
R: [81, 30, 10] L: [78, 22, 9]
R: [80, 28, 9] L: [79, 23, 9]
R: [78, 27, 9] L: [77, 22, 11]
R: [79, 28, 10] L: [79, 22, 10]
R: [79, 27, 8] L: [78, 23, 11]
R: [79, 30, 9] L: [78, 22, 12]
R: [79, 30, 9] L: [79, 23, 9]
R: [77, 28, 9] L: [79, 21, 10]
R: [78, 27, 8] L: [79, 22, 8]
R: [81, 29, 11] L: [79, 25, 10]
R: [79, 28, 9] L: [77, 22, 10]
R: [79, 28, 8] L: [79, 24, 11]
R: [79, 30, 11] L: [80, 24, 10]
R: [77, 29, 7] L: [78, 22, 10]
R: [81, 30, 11] L: [79, 23, 11]
R: [81, 30, 10] L: [78, 22, 9]
R: [78, 27, 8] L: [76, 21, 8]
R: [80, 29, 11] L: [80, 24, 11]
R: [78, 28, 8] L: [75, 21, 5]
R: [78, 27, 9] L: [79, 23, 10]
R: [80, 29, 9] L: [78, 23, 10]
R: [82, 31, 9] L: [80, 26, 11]
R: [80, 29, 11] L: [79, 23, 11]
R: [79, 28, 10] L: [80, 22, 12]
R: [79, 28, 10] L: [77, 21, 9]
R: [81, 29, 8] L: [77, 21, 9]
R: [81, 30, 10] L: [78, 22, 10]
R: [78, 27, 9] L: [83, 24, 12]
R: [77, 28, 9] L: [79, 23, 11]
R: [81, 30, 11] L: [82, 23, 10]
R: [80, 28, 10] L: [81, 25, 12]
R: [80, 29, 11] L: [79, 21, 11]
R: [80, 29, 9] L: [80, 24, 10]
R: [79, 29, 9] L: [80, 24, 11]
R: [80, 30, 12] L: [81, 25, 10]
R: [79, 27, 7] L: [77, 26, 9]
R: [79, 28, 10] L: [79, 19, 10]
R: [80, 30, 9] L: [79, 22, 9]
R: [78, 28, 9] L: [79, 23, 10]
R: [80, 29, 9] L: [79, 24, 11]
R: [81, 28, 9] L: [78, 23, 11]
R: [78, 28, 9] L: [81, 22, 12]
R: [79, 28, 9] L: [79, 22, 10]
R: [76, 27, 7] L: [78, 22, 10]
R: [80, 28, 9] L: [79, 23, 11]
R: [79, 26, 10] L: [79, 23, 10]
R: [80, 30, 10] L: [79, 23, 11]
R: [81, 28, 10] L: [80, 24, 11]
R: [79, 27, 8] L: [79, 22, 11]
R: [78, 29, 9] L: [79, 24, 11]
R: [79, 26, 9] L: [78, 22, 10]
R: [79, 27, 11] L: [78, 23, 10]
R: [80, 28, 8] L: [80, 24, 10]
R: [79, 31, 10] L: [79, 22, 12]
R: [81, 29, 11] L: [78, 22, 11]
R: [79, 29, 10] L: [79, 23, 11]
R: [81, 27, 9] L: [80, 23, 11]
R: [80, 28, 9] L: [80, 24, 11]
R: [81, 30, 10] L: [80, 24, 11]
R: [78, 28, 9] L: [78, 23, 10]
R: [79, 29, 9] L: [80, 24, 11]
R: [78, 28, 9] L: [78, 23, 10]
R: [82, 28, 10] L: [80, 23, 11]
R: [80, 29, 9] L: [79, 22, 12]
R: [78, 28, 9] L: [80, 24, 11]
R: [79, 29, 10] L: [79, 23, 10]
R: [80, 29, 9] L: [76, 20, 8]
R: [77, 28, 8] L: [82, 23, 14]
R: [80, 29, 7] L: [78, 24, 11]
R: [78, 26, 8] L: [78, 22, 11]
R: [80, 29, 10] L: [80, 23, 10]
R: [77, 28, 9] L: [79, 22, 9]
R: [80, 28, 9] L: [78, 22, 9]
R: [77, 26, 8] L: [79, 24, 12]
R: [80, 30, 9] L: [78, 22, 10]
R: [80, 30, 10] L: [86, 24, 15]
R: [78, 27, 8] L: [79, 24, 12]
R: [79, 28, 10] L: [81, 22, 13]
R: [80, 29, 10] L: [78, 22, 8]
R: [79, 28, 10] L: [79, 24, 12]
